"Year","Region_name","All_motor_vehicles",
"2011","Scotland","8011"
"2006","London","23705"
"2018","North West","8321"
"2008","South West","32887"
"2009","South West","562"
"2009","East Midlands","14137"
"2009","East Midlands","326"
"2009","East Midlands","11426"
"2014","Scotland","21024"
"2011","South West","3605"
"2019","London","9374"
"2018","North West","9145"
"2001","North East","495"
"2002","West Midlands","29949"
"2012","London","17603"
"2021","North West","14134"
"2002","North East","5546"
"2020","North West","13067"
"2012","East of England","6796"
"2008","Wales","7693"
"2009","East Midlands","7292"
"2012","South East","52371"
"2012","East Midlands","23743"
"2018","West Midlands","18077"
"2007","South East","15793"
"2015","Scotland","1423"
"2011","South East","1370"
"2011","Yorkshire and the Humber","62230"
"2015","West Midlands","22326"
"2009","South West","8307"
"2006","East of England","22932"
"2013","South East","32190"
"2007","North East","14210"
"2005","East Midlands","10011"
"2021","Wales","10190"
"2020","North West","9729"
"2003","North West","3256"
"2015","Yorkshire and the Humber","14021"
"2004","North West","26742"
"2019","South West","406"
"2019","East of England","25234"
"2021","Scotland","2374"
"2006","South East","3270"
"2021","North West","20112"
"2010","Yorkshire and the Humber","9458"
"2007","London","29242"
"2005","South East","3824"
"2014","East Midlands","3781"
"2006","Scotland","16151"
"2021","East Midlands","19306"
"2013","South West","20095"
"2019","Scotland","235"
"2012","London","28088"
"2002","Wales","11407"
"2010","South East","13267"
"2004","South West","23976"
"2015","London","17731"
"2000","South West","16493"
"2014","London","9085"
"2014","East of England","12695"
"2006","South East","2854"
"2013","South East","14966"
"2000","Scotland","8384"
"2015","South West","5856"
"2002","East of England","47000"
"2004","Scotland","121"
"2001","Scotland","4131"
"2021","North West","17596"
"2021","South East","8379"
"2009","South West","37385"
"2014","South East","8231"
"2018","West Midlands","7505"
"2003","South West","15795"
"2019","East of England","1316"
"2013","South East","948"
"2007","Scotland","13985"
"2002","London","33377"
"2013","North West","221"
"2012","East Midlands","27042"
"2020","Wales","2691"
"2016","Yorkshire and the Humber","8142"
"2003","North West","47245"
"2006","London","16278"
"2006","South West","6221"
"2000","South West","3700"
"2014","Scotland","9278"
"2021","North West","13854"
"2007","Wales","6810"
"2009","Yorkshire and the Humber","6547"
"2008","East Midlands","17324"
"2017","Scotland","26450"
"2003","Yorkshire and the Humber","341"
"2009","East Midlands","394"
"2008","London","17820"
"2010","South East","13083"
"2020","Scotland","8657"
"2012","Yorkshire and the Humber","479"
"2008","North West","47755"
"2009","Yorkshire and the Humber","8085"
"2013","Yorkshire and the Humber","20033"
"2019","West Midlands","441"
"2007","East of England","1878"
"2021","South East","8948"
"2019","East of England","657"
"2017","North West","12755"
"2011","West Midlands","649"
"2001","West Midlands","999"
"2018","Yorkshire and the Humber","6664"
"2003","London","30500"
"2003","Wales","3292"
"2015","South East","22492"
"2013","Yorkshire and the Humber","3914"
"2019","South East","30085"
"2005","East Midlands","10198"
"2009","North West","1546"
"2009","London","1522"
"2018","East Midlands","33581"
"2000","London","19198"
"2008","East Midlands","6977"
"2002","South East","534"
"2008","Scotland","13659"
"2017","East of England","18178"
"2013","London","16452"
"2008","Scotland","1359"
"2004","Yorkshire and the Humber","15456"
"2020","North West","89130"
"2006","Wales","96184"
"2013","North West","10993"
"2007","South West","12842"
"2013","West Midlands","796"
"2007","West Midlands","25208"
"2020","Scotland","7260"
"2007","Scotland","351"
"2019","Yorkshire and the Humber","336"
"2014","North East","6065"
"2000","Scotland","9877"
"2010","Yorkshire and the Humber","58253"
"2017","West Midlands","2998"
"2019","South West","16353"
"2011","London","20750"
"2016","Scotland","1466"
"2021","East Midlands","7169"
"2018","West Midlands","18888"
"2010","North West","5850"
"2018","South East","381"
"2009","South West","13522"
"2016","South East","37622"
"2008","West Midlands","1928"
"2000","Wales","2612"
"2019","South East","1312"
"2005","London","14285"
"2021","London","9157"
"2001","South East","18818"
"2013","Yorkshire and the Humber","10722"
"2016","West Midlands","18961"
"2015","London","19344"
"2011","West Midlands","23010"
"2002","South West","21134"
"2012","North West","108027"
"2013","North West","5626"
"2000","South West","17558"
"2016","North West","26057"
"2018","Yorkshire and the Humber","14489"
"2016","North West","6054"
"2011","East of England","143"
"2011","South East","833"
"2009","South East","9455"
"2020","South West","6173"
"2001","London","11692"
"2018","South West","8607"
"2002","Yorkshire and the Humber","13567"
"2016","East Midlands","17470"
"2000","South East","23650"
"2019","East Midlands","8541"
"2012","West Midlands","17522"
"2020","East Midlands","34202"
"2008","South West","8915"
"2014","Scotland","7260"
"2021","North West","7475"
"2001","Scotland","5156"
"2019","East Midlands","2364"
"2001","East of England","4222"
"2007","South East","17701"
"2021","South East","36974"
"2003","West Midlands","45314"
"2014","East Midlands","2283"
"2014","East Midlands","34727"
"2009","East of England","16832"
"2000","Wales","4822"
"2001","Wales","11046"
"2021","Scotland","105"
"2014","North East","13322"
"2015","East Midlands","10109"
"2013","North West","15132"
"2006","Scotland","27597"
"2010","East Midlands","25983"
"2008","North West","49579"
"2010","Scotland","2854"
"2021","South East","16854"
"2008","Yorkshire and the Humber","17192"
"2015","London","8837"
"2001","Wales","49902"
"2007","North East","13810"
"2011","Yorkshire and the Humber","7304"
"2004","Wales","3726"
"2015","South East","3338"
"2011","East of England","9196"
"2008","South West","24782"
"2014","Scotland","26790"
"2020","South East","4390"
"2006","North West","27358"
"2015","West Midlands","13252"
"2005","East Midlands","13908"
"2016","South East","28315"
"2000","London","120027"
"2013","West Midlands","13957"
"2018","North West","5574"
"2009","West Midlands","17514"
"2012","Yorkshire and the Humber","11272"
"2017","South East","11255"
"2018","London","20416"
"2009","Yorkshire and the Humber","2247"
"2011","Scotland","29183"
"2021","North East","687"
"2017","South West","13708"
"2016","London","32711"
"2000","Yorkshire and the Humber","13237"
"2000","South East","92585"
"2021","Scotland","14241"
"2006","South East","17012"
"2010","Yorkshire and the Humber","9933"
"2018","South East","14761"
"2011","Wales","11253"
"2009","East of England","10311"
"2018","East Midlands","6858"
"2009","South West","2606"
"2007","Yorkshire and the Humber","10081"
"2015","South West","16385"
"2003","Wales","13719"
"2019","Scotland","31465"
"2002","London","23336"
"2004","East Midlands","5635"
"2007","East of England","1541"
"2008","East Midlands","37758"
"2007","Yorkshire and the Humber","8106"
"2015","Yorkshire and the Humber","11575"
"2005","West Midlands","11325"
"2016","West Midlands","652"
"2015","North East","5897"
"2015","North West","20257"
"2015","West Midlands","17136"
"2009","East of England","407"
"2020","Scotland","3459"
"2021","Yorkshire and the Humber","4142"
"2021","Wales","59114"
"2018","West Midlands","4941"
"2018","South East","114249"
"2020","West Midlands","20500"
"2012","London","13282"
"2017","South East","628"
"2021","London","9996"
"2002","Scotland","86043"
"2020","Scotland","812"
"2021","West Midlands","28926"
"2016","South East","9797"
"2019","Yorkshire and the Humber","1339"
"2014","Yorkshire and the Humber","530"
"2008","Yorkshire and the Humber","4436"
"2003","East Midlands","13227"
"2018","North East","445"
"2001","East Midlands","40320"
"2006","North West","11820"
"2004","Wales","32135"
"2005","Yorkshire and the Humber","7208"
"2020","South West","51133"
"2008","North West","5554"
"2000","South East","7008"
"2005","South East","12405"
"2012","South East","19221"
"2012","North West","3451"
"2014","East Midlands","1260"
"2000","London","45610"
"2021","South East","48324"
"2005","South East","17481"
"2007","Yorkshire and the Humber","6577"
"2001","North West","15392"
"2004","South East","4942"
"2001","Wales","34411"
"2000","West Midlands","13231"
"2019","North West","7461"
"2004","South East","21088"
"2012","London","29430"
"2018","South East","365"
"2002","Yorkshire and the Humber","85994"
"2015","Scotland","46728"
"2012","East of England","1024"
"2013","South East","20263"
"2012","North East","798"
"2021","South East","5141"
"2000","Yorkshire and the Humber","5025"
"2004","Scotland","16129"
"2021","East of England","13147"
"2010","Scotland","1769"
"2011","Yorkshire and the Humber","99"
"2018","South East","1434"
"2009","East Midlands","51027"
"2013","North East","11029"
